Preferred Label;Synonyms;Definitions
meningococcal encephalitis;Meningococcal encephalitis disorder;
meningococcal endocarditis;Meningococcal endocarditis disorder;
meningococcal infectious disease;;
meningococcal meningitis;;A bacterial meningitis that has_material_basis_in Neisseria meningitidis infection.
meningococcal meningitis;;
meningococcal myocarditis;;
meningococcal optic neuritis;Meningococcal optic neuritis disorder;
meningococcal pericarditis;Meningococcal pericarditis disorder;
meningococcal septicemia;Meningococcemia disorder|Meningococcemia|Meningococcemia, unspecified disorder|Meningococcal septicaemia;
meningoencephalitis;Meningoencephalitis disorder;A central nervous system disease that involves encephalitis which occurs along with meningitis.
meningothelial meningioma;meningothelial meningioma morphologic abnormality|Meningotheliomatous meningioma;
meningovascular neurosyphilis;;A tertiary neurosyphilis that results_in inflammation located_in arteries of the brain or located_in arteries of spinal cord. The infection has_symptom headache, has_symptom neck stiffness, has_symptom dizziness, has_symptom behavioral abnormalities, has_symptom poor concentration, has_symptom memory loss, has_symptom lassitude, has_symptom insomnia, has_symptom blurred vision, has_symptom weakness and wasting of shoulder-girdle and arm muscles, has_symptom slowly progressive leg weakness with urinary or fecal incontinence or both, and has_symptom paralysis of the legs due to thrombosis of spinal arteries.
Menkes disease;Menkes kinky-hair syndrome|steely hair syndrome|COPPER TRANSPORT DISEASE;OMIM mapping confirmed by DO. [SN].
menopausal and postmenopausal disorder;;
menopausal syndrome;MENOPAUSE SYNDROME|Menopausal syndrome disorder;
mental depression;;
mental disorder;;A disorder that is a psychological or behavioral pattern associated with distress or disability that occurs in an individual and is not a part of normal development or culture.
Mental disorder complicating pregnancy, childbirth, or the puerperium;Mental disorder of mother, with delivery|peripheral neuritis postpartum|postpartum mental disorder of mother|peripheral neuritis antepartum|Mental disorder of mother, antepartum|peripheral neuritis in pregnancy, with delivery|postpartum edema or excessive weight gain;
Merkel cell carcinoma;Trabecular adenocarcinoma morphologic abnormality|trabecular carcinoma;
MERRF syndrome;Myoclonic epilepsy - ragged red fibers disorder|Myoclonus epilepsy AND ragged red fibers disorder|Myoclonus with epilepsy and with Ragged Red Fibers MERRF syndrome|Fukuhara syndrome disorder;OMIM mapping confirmed by DO. [SN].
mesangial proliferative glomerulonephritis;;
mesenchymal cell neoplasm;benign miscellaneous mesenchymal tumor|mesenchymal tumor;A cell type cancer that has_material_basis_in abnormally proliferating cells derives_from embryonic connective tissue that is capable of developing into connective tissue, such as bone, and cartilage, the lymphatic system, and the circulatory system.
mesenchymal chondrosarcoma;;
mesenchymal hamartoma;mesenchymal hamartoma morphologic abnormality;
mesenchymal hamartoma of the liver;mesenchymal hamartoma of Liver;
mesenchymoma;;
mesenteric lymphadenitis;Mesenteric adenitis|Mesenteric lymphadenitis|Mesenteric lymphadenitis disorder;
mesenteric vascular occlusion;;
mesoblastic nephroma;Mesoblastic nephroma morphologic abnormality|Mesoblastic Nephroma|Mesoblastic nephroma disorder;A kidney cancer that is found in the kidney and is usually found before birth by ultrasound or within the first 3 months of life.
mesocestoidiasis;;A parasitic helminthiasis infectious disease that involves parasitic cestode infection caused by Mesocestoides lineatus resulting in nausea, diarrhea, abdominal discomfort and vomiting.
mesonephric tumor;Wolffian duct tumour|Mesonephric neoplasm morphology|Mesonephric neoplasm|Mesonephric tumor morphologic abnormality;
mesothelial neoplasm;Mesothelial neoplasm NOS morphologic abnormality|Mesothelial tumor morphology qualifier value|Mesothelial neoplasm morphologic abnormality|Mesothelial tumor;
mesothelioma malignant recurrent;relapsed malignant Mesothelioma;
metabolic acidosis;;A lactic acidosis that has_material_basis_in high levels of acid.
metabolic brain disease;Metabolic encephalopathy|Metabolic encephalopathy disorder;
metabolic skin disease;;
metabolic syndrome X;abdominal obesity-metabolic syndrome 1|dysmetabolic syndrome X;OMIM mapping confirmed by DO. [SN].
metachromatic leukodystrophy;arylsulfatase A deficiency|Scholz cerebral sclerosis|deficiency of cerebroside-sulfatase|MLD|sulfatide lipoidosis;A sphingolipidosis characterized by the accumulation of sulfatides in cells, especially the myelin producing cells of the nervous system.|Xref MGI.
metachromatic leukodystrophy;;DOID:10581
metachronous kidney Wilms' tumor;metachronous Wilms tumor of the kidney;
metachronous osteosarcoma of the bone;;
metagonimiasis;Infection by Metagonimus yokogawai disorder|Infection by Metagonimus yokogawai;A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Metagonimus yokogawai. The symptoms are diarrhea and colicky abdominal pain. The heart and brain can also be infected.
metal allergy;;A hypersensitivity reaction type I disease triggered by a metal.
metal metabolism disorder;inborn metal metabolism disorder;An inherited metabolic disorder that involves metabolic disturbances in the processing or distribution of dietary minerals.
metanephric adenoma;Metanephric adenoma morphologic abnormality;
metaphyseal dysplasia;Pyle's disease|Bakwin-Krida syndrome|Pyle-Cohn syndrome;An osteochondrodysplasia that results_in thinning and the tendency to fracture located_in bone.
metaplastic carcinoma;Metaplastic carcinoma morphologic abnormality;
metaplastic meningioma;Metaplastic meningioma;
metastases to large Intestine;metastatic tumor to the large Intestine|secondary malignant neoplasm of large intestine disorder;
metastases to mediastinum;metastatic tumor to the mediastinum|secondary malignant neoplasm of mediastinum;
metastasis to adrenals;metastatic tumor to the Adrenals;
metastasis to eye;metastatic tumor to the eye|secondary malignant neoplasm of eye disorder;
metastasis to heart;metastatic tumor to the Heart|secondary malignant neoplasm of heart disorder;
metastasis to lymph node;;
metastasis to pituitary gland;;
metastasis to pleura;secondary malignant neoplasm of pleura|metastatic tumor to the Pleura|secondary malignant neoplasm of pleura disorder;
metastasis to prostate;secondary malignant neoplasm of prostate disorder|metastatic neoplasm to the prostate;
metastasis to skin;metastatic skin carcinoma|secondary malignant neoplasm of skin NOS disorder|secondary malignant neoplasm of skin disorder|secondary malignant neoplasm of skin|metastatic tumor to the skin|metastasis to skin;
metastasis to the kidney;metastasis to kidney|metastatic neoplasm to the kidney|secondary malignant neoplasm of kidney|secondary malignant neoplasm of kidney disorder;
metastasis to the neck;metastatic tumor to the neck;
metastasis to the orbit;secondary malignant neoplasm of orbit disorder|metastatic tumor to the orbit;
metastasis to the parathyroid gland;metastatic tumor to the Parathyroid;
metastasis to the peritoneum;metastatic neoplasm to the Peritoneum|secondary malignant neoplasm of the peritoneum disorder;
metastasis to the rectum;metastatic tumor to the rectum;
metastasis to the retina;metastatic tumor to the Retina;
metastasis to the ureter;metastatic neoplasm to the Ureter|secondary malignant neoplasm of ureter disorder;
metastasis to the urethra;secondary malignant neoplasm of urethra disorder|metastatic neoplasm to the urethra;
metastasis to vagina;secondary malignant neoplasm of vagina disorder|secondary tumor to the vagina;
metastasizing mixed tumor of salivary gland;;
metastatic adenocarcinoma;adenocarcinoma, metastatic, NOS morphologic abnormality|adenocarcinoma, metastatic morphologic abnormality;
metastatic anal cancer;secondary carcinoma from the anus;
metastatic cancer to the breast;secondary malignant neoplasm of female breast disorder|metastatic tumor to the breast|secondary malignant neoplasm of breast;
metastatic carcinoma;carcinoma, metastatic morphologic abnormality|metastatic carcinoma|carcinoma, metastatic, NOS morphologic abnormality;A carcinoma that is able to grow at sites distant from the primary site of origin.
metastatic carcinoma from the small bowel;metastatic carcinoma from the small Intestine;
metastatic carcinoma to the uterine cervix;secondary carcinoma to the Cervix Uteri;
metastatic childhood sarcoma of soft tissue;metastatic pediatric sarcoma of the soft tissue;
metastatic chondrosarcoma;;
metastatic endometrial adenocarcinoma;;
metastatic endometrial carcinoma;stage IV cancer of Uterus;
metastatic endometrioid carcinoma;;
metastatic epithelioid sarcoma;metastatic epithelioid cell sarcoma;
metastatic Ewing's sarcoma;Ewing's sarcoma, metastatic;
metastatic Ewing's sarcoma/peripheral primitive neuroectodermal tumor;;
metastatic extra-osseous Ewing's sarcoma;metastatic extraskeletal Ewing's sarcoma;
metastatic extraskeletal chondrosarcoma;metastatic extraosseous chondrosarcoma;
metastatic extraskeletal osteosarcoma;metastatic extraskeletal Osteogenic sarcoma;
metastatic fibrosarcoma;;
metastatic lung carcinoma;Unspecified stage IV carcinoma of lung;
metastatic malignant hemangiopericytoma;;
metastatic malignant neoplasm to brain;secondary malignant neoplasm of brain disorder|metastatic neoplasm to the Brain;
metastatic malignant neoplasm to the cervix;secondary malignant neoplasm of cervix uteri disorder|secondary malignant neoplasm of uterine cervix disorder|metastasis to the Cervix Uteri;
metastatic malignant neoplasm to the thyroid;metastatic tumor to the Thyroid|secondary malignant neoplasm of thyroid gland;
metastatic malignant tumor to the anus;secondary malignant neoplasm of anus disorder;
metastatic melanoma;;
metastatic meningioma;;
metastatic MPNST;;
metastatic neoplasm of parathyroid;metastatic tumor of Parathyroid;
metastatic neoplasm of ureter;Ureter metastatic malignant neoplasm;
metastatic neoplasm of urethra;urethra metastatic malignant neoplasm;
metastatic neoplasm to the bladder;metastatic tumor to the urinary bladder|secondary malignant neoplasm of bladder disorder;
metastatic neoplasm to the ciliary body;metastatic tumor to the Ciliary body;
metastatic neoplasm to the gallbladder;metastatic tumor to the gallbladder|secondary malignant neoplasm of gallbladder disorder;
metastatic neoplasm to the placenta;metastatic tumor to the Placenta;
metastatic non-cutaneous melanoma;;
metastatic osteosarcoma;metastatic Osteogenic sarcoma;
metastatic ovarian small cell carcinoma with hypercalcemia;;
metastatic pancreatic adenocarcinoma;;
metastatic parathyroid cancer;metastatic Parathyroid carcinoma;
metastatic peripheral neuroepithelioma of bone;;
metastatic prostatic adenocarcinoma;;
metastatic renal cell carcinoma;metastatic renal cell cancer;
metastatic small intestinal adenocarcinoma;;
metastatic squamous cell carcinoma;squamous cell carcinoma, metastatic NOS morphologic abnormality|metastatic squamous cell carcinoma|squamous cell carcinoma, metastatic morphologic abnormality|metastatic squamous cell carcinoma disorder;
metastatic squamous neck cancer with occult primary;squamous cell carcinoma metastatic to the neck with Occult primary;
metastatic synovial sarcoma;;
metastatic testicular cancer;;
metastatic transitional cell cancer of the renal pelvis and ureter;metastatic Urothelial carcinoma of the renal Pelvis and Ureter;
metastatic tumor to the brain stem;metastatic tumor to the Brainstem;
metastatic tumor to the choroid;;
metastatic tumor to the colon;;
metastatic tumor to the epididymis;metastatic neoplasm to the Epididymis|secondary malignant neoplasm of epididymis disorder;
metastatic tumor to the iris;;
metastatic tumor to the larynx;;
metastatic tumor to the testis;secondary malignant neoplasm of testis disorder|metastatic neoplasm to the testis;
metastatic vulvar cancer;metastatic Vulvar carcinoma;
metatypical basal cell carcinoma;skin Metatypical carcinoma|skin metatypical basal cell carcinoma|Basosquamous carcinoma of skin disorder;
methemoglobinemia;;
methotrexate-associated lymphoproliferation;;
methylmalonic acidemia;METHYLMALONICACIDURIA DUE TO METHYLMALONIC CoA MUTASE deficiency|methylmalonic aciduria type cblB|METHYLMALONICACIDURIA, vitamin B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN--cbl B|METHYLMALONIC ACIDEMIA, cblB TYPE|METHYLMALONIC ACIDURIA, VITAMIN B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN, cblA TYPE|methylmalonic aciduria mut type|METHYLMALONIC ACIDURIA, mut TYPE|methylmalonic aciduria cblB type|METHYLMALONIC ACIDEMIA, cblA TYPE|METHYLMALONIC ACIDURIA DUE TO METHYLMALONYL-CoA MUTASE DEFICIENCY|METHYLMALONIC ACIDURIA, VITAMIN B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN, cblB TYPE|methylmalonic aciduria type cblA|methylmalonic aciduria|METHYLMALONICACIDURIA, vitamin B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESIS OF ADENOSYLCOBALAMIN--cbl A;An organic acidemia that involves an accumulation of methylmalonic acid in the blood.|OMIM mapping confirmed by DO. [SN].
methylmalonic acidemia cbA type;methylmalonic aciduria, vitamin B12-responsive due to a defect in synthesis of adenosylcobalamin cb1A type|methylmalonic aciduria cb1A type;A methylmalonic acidemia characterized by autosomal recessive inheritance, defects in the synthesis of AdoCbl, vitamin B12 therapy responsiveness and that has_material_basis_in homozygous or compound heterozygous mutation in the MMAA gene on chromosome 4q31.
methylmalonic acidemia cbB type;methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type|methylmalonic aciduria cb1B type;A methylmalonic acidemia characterized by autosomal recessive inheritance, defects in the synthesis of AdoCbl, vitamin B12 therapy responsiveness and that has_material_basis_in homozygous or compound heterozygous mutation in the MMAB gene on chromosome 12q24.
methylmalonic acidemia due to transcobalamin receptor defect;methylmalonic acidemia, TCb1R type|methylmalonic acidemia, TCbIR type|methylmalonic aciduria due to transcobalamin receptor defect;A methylmalonic acidemia characterized by autosomal recessive inheritance of low uptake of transcobalamin-bound cobalamin, but normal conversion to adenosylcobalamin and methylcobalamin and that has_material_basis_in mutation in the CD320 gene.
methylmalonic aciduria and homocystinuria type cblC;Cobalamin C deficiency;A methylmalonic acidemia that has_material_basis_in deficiency in synthesis of both AdoCbl and MeCbl (cblC) and is characterized by decreased levels of the coenzymes adenosylcobalamin (AdoCbl) and methylcobalamin (MeCbl), which results in decreased activity of the respective enzymes methylmalonyl-CoA mutase.
methylmalonic aciduria and homocystinuria type cblD;Cobalamin D deficiency;A methylmalonic aciduria that is characterized by combined homocystinuria and methylmalonic aciduria and deficiency of MCM and MS activities.
methylmalonic aciduria and homocystinuria type cblE;;
methylmalonic aciduria and homocystinuria type cblF;Cobalamin F deficiency;A methylmalonic acidemia that is characterized by the accumulation of cobalamin in lysosomes which is then unable to synthesize the cofactors adenosylcobalamin (AdoCbl) and methylcobalamin (MeCbl).
methylmalonic aciduria and homocystinuria type cblG;;
methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency;vitamin B12-unresponsive methylmalonic aciduria|methylmalonic aciduria mut type|methylmalonic acidemia due to methylmalonyl-CoA mutase deficiency;A methylmalonic acidemia characterized by accumulation of methylmalonic acid in the blood that is unresponsive to vitamn B12 therapy and that has_material_basis_in mutation in the MUT gene on chromosome 6p12.3.
mevalonic aciduria;Mevalonate Kinase Deficiency;OMIM mapping confirmed by DO. [SN].
MHC class I deficiency;BLSI|BLS, TYPE I|bare lymphocyte syndrome type I|HLA CLASS I DEFICIENCY;OMIM mapping confirmed by DO. [SN].
MHC class II deficiency;SCID due to absent class II HLA antigens disorder|bare lymphocyte syndrome type II|BLSII;OMIM mapping confirmed by DO. [SN].
microcephalic osteodysplastic primordial dwarfism type I;cephaloskeletal dysplasia|osteodysplastic primordial dwarfism type I|Taybi-Linder syndrome|low-birth-weight dwarfism with skeletal dysplasia|brachymelic primordial dwarfism;A microcephalic osteodysplastic primordial dwarfism that has_material_basis_in homozygous or compound heterozygous mutation in the RNU4ATAC gene, encoding a small nuclear RNA (snRNA) component of the U12-dependent (minor) spliceosome, on chromosome 2q14.2. It is characterized by dwarfism, microcephaly, and neurologic abnormalities, including mental retardation, brain malformations, and ocular, auditory sensory deficits.
microcephalic osteodysplastic primordial dwarfism type II;osteodysplastic primordial dwarfism type II|Majewski osteodysplastic primordial dwarfism type II;A microcephalic osteodysplastic primordial dwarfism that has_material_basis_in homozygous or compound heterozygous mutation in the PCNT gene, encoding pericentrin, on chromosome 21q22. It is characterized by intrauterine growth retardation, severe proportionate short stature, and microcephaly.
microcephaly;microencephaly|Microcephalus;OMIM mapping confirmed by DO. [SN].
microcephaly and chorioretinopathy ;;A syndrome that is characterized by delayed psychomotor development and visual impairment, often accompanied by short stature and has_material_basis_in homozygous or compound heterozygous mutation in the TUBGCP6 gene.
microcephaly and chorioretinopathy ;;A syndrome that is characterized by delayed psychomotor development, visual impairment, and short stature and has_material_basis_in homozygous mutation in the PLK4 gene.
microcephaly and chorioretinopathy ;;A syndrome that is characterized by congenital microcephaly and chorioretinal dysplasia associated with poor vision and nystagmus and has_material_basis_in compound heterozygous mutation in the TUBGCP4 gene.
microcephaly with or without chorioretinopathy, lymphedema, or mental retardation;microcephaly, lymphedema, chorioretinal dysplasia syndrome|lymphedema and retinal folds with ficrocephaly and microphthalmos|chorioretinal dysplasia-microcephaly-mental retardation syndrome|lymphedema, microcephaly and chorioretinopathy syndrome|microcephaly lymphedema chorioretinal dysplasia;A syndrome characterized byvariable expression of microcephaly, ocular disorders including chorioretinopathy, congenital lymphedema of the lower limbs, and mild to moderate intellectual disability.
microcystic adenoma;Microcystic adenoma|Microcystic adenoma morphologic abnormality;
microcystic meningioma;Microcystic meningioma|Microcystic meningioma morphologic abnormality;
microcystic variant infiltrating bladder urothelial carcinoma;;
microcytic anemia;;OMIM mapping confirmed by DO. [SN].
microglandular adenosis;Adenosis - breast|Adenosis of the breast;
microglandular adenosis of breast;;
microinvasive cervical squamous cell carcinoma;;
microinvasive gastric cancer;Surface gastric cancer|early gastric cancer disorder;
micronodular basal cell carcinoma;skin micronodular basal cell carcinoma;
micropapillary variant infiltrating bladder urothelial carcinoma;;
micropapillomatosis labialis;;
microphthalmia;simple microphthalmos|nanophthalmia|microphthalmos|nanophthalmos;An eye disease where one or both eyeballs are abnormally small.|Xref MGI.
microphthalmia;;DOID:10629
microphthalmia with limb anomalies;anophthalmia-syndactyly syndrome|OAS|ophthalmoacromelic syndrome|Waardenburg anophthalmia syndrome|MLA;A an autosomal recessive disease that is characterized by autosomal recessive inheritance of bilateral or unilateral clinical anophthalmia or microphthalmia and synostosis, syndactyly, oligodactyly and/or polydactyly that has material_basis_in homozygous mutation in the SMOC1 gene on chromosome 14q24.
microscopic breast papilloma;;
microscopic colitis;;A colitis that can only be diagnosed_by the examination of colon tissue under a microscope.
microsporidiosis;Infection by Microsporea disorder|Infection by Microsporida disorder|Infection by Microspora disorder;An opportunistic mycosis that results_in systemic fungal infection in immunocompromised people, has_material_basis_in Microsporidia phylum members.
Microsporum audouinii tinea capitis;;An ectothrix infectious disease that results_in non-inflammatory fungal infection located_in scalp and located_in skin, has_material_basis_in Microsporum audouinii.
Microsporum canis tinea capitis;;An ectothrix infectious disease that results_in zoophilic fungal infection located_in hair, located_in skin, and located_in nail, has_material_basis_in Microsporum canis.
Microsporum distortum tinea capitis;;An ectothrix infectious disease that results_in zoophilic fungal infection located_in skin, and located_in hair, has_material_basis_in Microsporum distortum, which causes infections in cats, dogs and other animals.
Microsporum ferrugineum tinea capitis;;An ectothrix infectious disease that results_in anthropophilic fungal infection located_in skin and located_in hair, has_material_basis_in Microsporum ferrugineum.
Microsporum fulvum tinea capitis;;An ectothrix infectious disease that results_in geophilic fungal infection located_in scalp and located_in hair in humans and animals, has_material_basis_in Microsporum fulvum.
Microsporum gypseum tinea capitis;;An ectothrix infectious disease that results_in geophilic fungal infection located_in glabrous skin, located_in scalp and located_in hair, has_material_basis_in Microsporum gypseum, which results_in_formation_of inflammatory lesions.
Microsporum nanum tinea capitis;;An ectothrix infectious disease that results_in geophilic and zoophilic fungal infection located_in skin, located_in scalp and located_in hair, has_material_basis_in Microsporum nanum, which results_in_formation_of chronic non-inflammatory lesions in pigs and humans.
microvillus inclusion disease;congenital microvillus atrophy|intractable diarrhea of infancy|MVD|congenital familial protracted diarrhea with enterocyte brush-border abnormalities|diarrhea 2 with microvillus atrophy|Davidson disease;A congenital diarrhea characterized by onset of intractable life-threatening watery diarrhea during infancy, lack of microvilli on the surface of enterocytes and occurrence of intracellular vacuolar structures containing microvilli that has_material_basis_in homozygous or compound heterozygous mutation in the MYO5B gene on chromosome 18q21.
middle cerebral artery infarction;;
middle cranial fossa meningioma;meningioma of the middle Cranial Fossa;
middle ear adenocarcinoma;adenocarcinoma of the middle ear|adenocarcinoma of middle ear;A middle ear carcinoma that derives_from epithelial cells of glandular origin.
middle ear adenoma;adenoma of the middle ear|adenoma of middle ear;
middle ear cancer;tumor of the middle ear|neoplasm of middle ear disorder;An auditory system cancer that is located_in the middle ear.
middle ear carcinoma;carcinoma of the middle ear|carcinoma of middle ear;A middle ear cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
middle ear cholesterol granuloma;Cholesterin granuloma|Cholesterin granuloma of middle ear;A otitis media which is an expansile, inflammatory mass of granulation tissue in the middle ear. It is a foreign body reaction to cholesterol deposits that occur in obstructed fluid-filled air cells of the temporal bone. It is present with a conductive hearing loss and a blue eardrum.
middle ear disease;;
middle ear squamous cell carcinoma;Epidermoid carcinoma of the middle ear|squamous cell carcinoma of middle ear;A middle ear carcinoma that has_material_basis_in squamous cells.
middle lobe syndrome;;A lung disease that is defined as a recurrent or chronic collapse of the right middle lobe, right upper lobe or lingula of the lung. It is caused by endobronchial tumour, granulomatous infections, lymphadenopathy, foreign bodies, endobronchial silicotic nodules, inspissated mucus associated with cystic fibrosis or inflammation as a result of an infection.
midface dysplasia;;
midline cystocele;;
migraine;migraine with or without aura|migraine variant|migraine disorder;A brain disease that is characterized by moderate to severe headaches, nausea, extreme sensitivity to light and sound and intense unilaterial throbbing or pulsing.|Xref MGI.
migraine;;DOID:6364
migraine with aura;classic migraine;A migraine characterized by migraine headache which is preceded or accompanied by a transient focal neurological phenomenon.|Xref MGI.
migraine without aura;common migraine;A migraine that is characterized by migraine headaches that are not accompanied by an aura.|Xref MGI.
Mikulicz disease;Mikulicz's disease;
mild degree recurrent episode manic disorder;;
Mild hyperemesis gravidarum;Mild hyperemesis gravidarum, delivered|Mild hyperemesis gravidarum, antepartum;
mild pre-eclampsia;;A pre-eclampsia characterized by the presence of hypertension without evidence of end-organ damage, in a woman who was normotensive before 20 weeks' gestation.
mild recurrent major depression;Mild recurrent major depression disorder|recurrent major depressive episodes, mild disorder|Major depressive disorder, recurrent episode, mild degree;
Miles-Carpenter syndrome;mental retardation, X-linked, syndromic 4|X-linked intellectual disability, Miles-Carpenter type|MCS|mental retardation, X-linked, with congenital contractures and low fingertip arches|MRXS4;A syndromic X-linked intellectual disability characterized by severe intellectual deficit, microcephaly, exotropia, distal muscle wasting and low digital arches that has_material_basis_in variation in chromosomal region Xq13-q22.
miliaria;;
miliaria rubra;Prickly heat - miliaria|Miliaria crystallina|Sudamina;
miliary tuberculosis;Disseminated tuberculosis disorder|generalized tuberculosis|acute miliary tuberculosis|Tuberculosis miliaris disseminata disorder;An extrapulmonary tuberculosis that results in formation of tiny lesions in all the organs.
milk allergy;milk allergic reaction;A food allergy that results in adverse immune reaction to one or more of the proteins in cow's milk and/or the milk of other animals, which are normally harmless to the non-allergic individual.
milker's nodule;Milkers' node|Paravaccinia|milker nodule|Pseudocowpox;A viral infectious disease that results_in infection of cattle and humans, located_in skin, has_material_basis_in Pseudocowpox virus, which is transmitted_by contact with the infected cow teats, or transmitted_by fomites. The infection results_in_formation_of lesions on the fingers, hands, and forearms and has_symptom fever, has_symptom lymphangitis, and has_symptom lymphadenopathy.
Miller Fisher syndrome;Fisher's syndrome disorder|Miller-Fisher variant of Guillain-Barre syndrome;A Guillain-Barre syndrome that manifests as a descending paralysis. It usually affects the eye muscles first and presents with the triad of ophthalmoplegia, ataxia, and areflexia.
Miller-Dieker lissencephaly syndrome;MDS|Miller-Dieker syndrome;A syndrome characterized by classical lissencephaly and distinct facial features. Visible and submicroscopic deletions of 17p13.3, including the LIS1 gene, are found in almost 100% of patients.
mineral metabolism disease;;An acquired metabolic disease that is characterized by abnormal mineral metabolism.
minor vestibular glands adenoma;adenoma of minor vestibular glands;
mirror agnosia;;An agnosia that is a loss of the ability to acknowledge objects in the neglected field that are visible when a mirror reflects the object visible in the non-neglected field.
miscellaneous mesenchymal neoplasm;;
mite infestation;;A parasitic ectoparasitic infectious disease that involves infestation of mites belonging to the family Sarcoptidae, Trombiculidae and Demodicidae.
mitochondrial complex I deficiency;isolated NADH-CoQ reductase deficiency|isolated NADH-ubiquinone reductase deficiency|isolated mitochondrial respiratory chain complex I deficiency|isolated NADH-coenzyme Q reductase deficiency;A mitochondrial metabolism disease characterized by a wide range of manifestations including marked and often fatal lactic acidosis, cardiomyopathy, leukoencephalopathy, pure myopathy and hepatopathy with tubulopathy. Among the numerous clinical phenotypes observed are Leigh syndrome, Leber hereditary optic neuropathy and MELAS syndrome. It can have material basis in mutations in multiple different genes, both nuclear-encoded and mitochondrial-encoded.
mitochondrial complex II deficiency;isolated succinate-ubiquinone reductase deficiency|isolated mitochondrial respiratory chain complex II deficiency|isolated succinate-CoQ reductase deficiency|isolated succinate-coenzyme Q reductase deficiency;A mitochondrial metabolism disease characerized by a highly variable phenotype. Some patients have multisystem involvement of the brain, heart, muscle, liver, and kidneys resulting in death in infancy, whereas others have only isolated cardiac or muscle involvement with onset in adulthood and normal cognition. It has material basis in homozygous or compound heterozygous mutation in the nuclear-encoded SDHA gene on chromosome 5p, the nuclear-encoded SDHAF1 gene on chromosome 19q, or the nuclear-encoded SDHD gene on chromosome 11q23.
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;MC3DN2;A mitochondrial metabolism disease characterized by motor disability, with ataxia, apraxia, dystonia, and dysarthria, associated with necrotic lesions throughout the brain and has material basis in mutation in the TTC19 gene on chromosome 17. It has an autosomal recessive inheritance pattern.
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex III deficiency nuclear type ;;
mitochondrial complex V ATP synthase deficiency nuclear type ;neonatal mitochondrial encephalocardiomyopathy due to ATP synthase deficiency|MC5DN2;A mitochondrial metabolism disease that has material basis in mutation in the TMEM70 gene on chromosome 8q21.
mitochondrial complex V ATP synthase deficiency nuclear type ;MC5DN3;A mitochondrial metabolism disease that has material basis in mutation in the ATP5E gene on chromosome 20q13.
mitochondrial complex V ATP synthase deficiency nuclear type ;MC5DN4;A mitochondrial metabolism disease that has material basis in mutation in the ATP5A1 gene on chromosome 18q.
mitochondrial complex V ATP synthase deficiency, nuclear type ;MC5DN1;A mitochondrial metabolism disease that has material basis in mutation in the ATPAF2 gene on chromosome 17p11.
mitochondrial disease;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome a;;
mitochondrial DNA depletion syndrome b;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome ;;
mitochondrial DNA depletion syndrome a;;
mitochondrial DNA depletion syndrome ;;
mitochondrial encephalomyopathy;;
mitochondrial metabolism disease;;An inherited metabolic disorder that involves mitochondrial metabolism dysfunction.
mitochondrial myopathy;mitochondrial cytopathy disorder;A myopathy that is characterized by mitochondrial dysfunction.|OMIM mapping confirmed by DO. [SN].
mitotically active variant uterine corpus leiomyoma;;
mitral valve disease;disease of mitral valve|chronic rheumatic mitral valve disorder|Mitral RH valve dis.|Rheumatic mitral valve regurgitation|rheumatic disease of mitral valve|Rheumatic mitral valve changes|Rheumatic disease of mitral valve disorder|rheumatic mitral valve incompetence|Rheumatic mitral insufficiency;
mitral valve insufficiency;Mitral valve incompetence|congenital mitral regurgitation|Congenital insufficiency of mitral valve disorder|congenital mitral insufficiency|mitral regurgitation;
mitral valve prolapse;floppy mitral valve|Barlow's syndrome|myxomatous mitral valve prolapse|mitral leaflet syndrome|systolic click-murmur syndrome;A mitral valve disease where one or both of the cusps of the mitral valve bulge or collapse backward in the left atrium during systole.|Xref MGI.
mitral valve prolapse;;DOID:988
mitral valve stenosis;Mitral stenosis;A mitral valve disease that is characterized by the narrowing of the orifice of the mitral valve of the heart.
mitral valve syphilitic endocarditis;Syphilitic endocarditis of mitral valve disorder;
mixed acinar-endocrine carcinoma;mixed acinar-endocrine carcinoma morphologic abnormality|mixed acinar-endocrine carcinoma;
