Preferred Label;Synonyms
pronephric proximal tubule;pronephros proximal tubule
musculature of face;muscle group of face|entire facial musculature|musculi faciei|facial muscles|set of facial muscles|set of muscles of face
external supporting cell of vestibular epithelium;
positive regulation of adaptive immune response;
lower respiratory tract connective tissue;lower respiratory tract textus connectivus|textus connectivus of lower respiratory tract|portion of connective tissue of lower respiratory tract|lower respiratory tract portion of connective tissue|connective tissue of lower respiratory tract
epidermis gland;gland of epidermis|epidermal gland
tertiary pigment cell;
T-cell surface glycoprotein YE1/48;Klra1|ly-49a|lymphocyte antigen 49a|T lymphocyte antigen A1|Ly-49|Ly49|Ly49A
anterior lens cell;
endoderm of hindgut;hindgut endoderm
hydrogen molecular entity;
endothelial cell of coronary artery;
acidophilic cytoplasm;eosinophilic
neuroepithelial stem cell;totipotent neuroepithelial stem cell
serosa of duodenum;duodenal serosa|visceral peritoneum of duodenum|duodenum serosa|serous membrane of duodenum|doudenal serosa|duodenum serous membrane
anal region skeletal muscle;skeletal muscle of anal triangle|skeletal muscle tissue of anal region|skeletal muscle tissue of anal part of perineum|anal part of perineum skeletal muscle|anal part of perineum skeletal muscle tissue|skeletal muscle tissue of anal triangle|anal triangle skeletal muscle|anal triangle skeletal muscle tissue|skeletal muscle of anal region|skeletal muscle of anal part of perineum|anal region skeletal muscle tissue
prostate stromal cell;
spleen primordium;splenic mesenchyme|spleen mesenchyme|splenic primordium|left spleen primordium
basal cell of epithelium of bronchus;basal cell of bronchus
6th arch mesenchyme;6th pharyngeal arch mesenchyme|pharyngeal arch 6 mesenchyme|6th branchial arch mesenchyme
Tubulidentata;aardvarks|Edentata
cortex of thymus;thymic cortex|thymus cortex
endothelium of capillary;capillary endothelium|endothelium of capillary vessel|capillary vessel endothelium|endothelium of blood capillary|blood capillary endothelium
Erinaceus;
trophoblast;trophoblast layer|trophoderm|massa cellularis externa|trophoblastus
ligament of knee joint;knee joint ligament
Gr1-positive, CD43-positive monocyte;
obsolete cambial initial;
Kit-positive, CD34-positive common myeloid progenitor;CD117-positive common myeloid precursor
gamma-aminobutyric acid secretion, neurotransmission;
skin of abdomen;skin of abdomen proper|zone of skin of abdomen|abdominal skin|abdomen zone of skin|abdomen skin
future cardiac ventricle;embryonic ventricle|embryonic heart ventricle|early heart ventricle|presumptive cardiac ventricle heart tube|primordial ventricle|primitive ventricle|future heart ventricle|primordial cardiac ventricle|primitive ventricle of heart
striatum;striate nucleus|striatum|neuraxis striatum|striatum of neuraxis|neostriatum|corpus striatum (Zilles)|dorsal striatum|corpus striatum|striated nucleus|caudate putamen
CNS neuron (sensu Nematoda and Protostomia);
respiratory system arterial smooth muscle;
molecular entity;
extrahepatic bile duct epithelium;epithelial tissue of extrahepatic bile duct|epithelium of extrahepatic bile duct|extrahepatic bile duct epithelial tissue
pronephric glomerular basement membrane;pronephric glomerular filtration membrane
scavenger receptor cysteine-rich type 1 protein M130;CD163|hemoglobin scavenger receptor|M130
midbrain mantle layer;mantle layer lateral wall midbrain|midbrain lateral wall mantle layer|mantle layer lateral wall mesencephalon
diaphysis of femur;femoral shaft|shaft of femur|body of femur|corpus femoris|femoral diaphysis
positive regulation of cell proliferation;
light melanocyte;
male accessory sex gland;male accessory reproductive gland|male accessory gland
reproductive structure;reproductive system element|reproductive system structure
respiratory system lymphatic vessel;apparatus respiratorius lymph vessel|lymphatic vessel of respiratory system|lymphatic vessel of apparatus respiratorius|lymph vessel of apparatus respiratorius|apparatus respiratorius lymphatic vessel|respiratory system lymph vessel|lymph vessel of respiratory system
anatomical cavity;cavity
spermatid nucleus differentiation;
metaphysis of humerus;humeral metaphysis|diaphyseal end of humerus
spinal cord medial motor column;
CD4-positive, alpha-beta T cell;CD4-positive, alpha-beta T-cell|CD4-positive, alpha-beta T lymphocyte|CD4-positive, alpha-beta T-lymphocyte
pulmonary acinus;lobulus pulmonis primarius|arbor alveolaris|acinus pulmonaris|respiratory lobule|primary pulmonary lobule
pallium;area dorsalis telencephali|dorsal part of telencephalon|dorsal telencephalon|dorsal telencephalic area
subdivision of oviduct;zone of uterine tube|uterine tube zone|subdivision of oviduct|subdivision of uterine tube|subdivision of fallopian tube
Gorilla;
macromolecular complex;
macrophage differentiation;
muscle layer of large intestine;muscular layer of large intestine|muscular coat of large intestine|muscularis externa of large intestine|tunica muscularis intestini crassi
type I cell of adrenal cortex;epithelial cell of zona glomerulosa of adrenal gland
renal alpha-intercalated cell;
metanephric nephron tubule;
hematopoietic precursor cell;
occurrent;
future coelemic cavity lumen;body cavity precursor
cranial or facial muscle;cranial/facial muscle|cranial-facial muscle|cranio-facial muscle|craniofacial muscle
Neoptera;
early promyelocyte;
pancreas dorsal primordium;dorsal pancreas
kidney outer medulla collecting duct intercalated cell;
myocardium;heart myocardium|muscle of heart|heart muscle|cardiac muscle
muscle layer of oviduct;muscularis of uterine tube|tunica muscularis (Tuba uterina)|tunica muscularis tubae uterinae|uterine tubal muscularis|muscle layer of fallopian tube|muscle layer of oviduct|muscular coat of uterine tube|muscle layer of uterine tube|muscular layer of uterine tube
alveolar system;pulmonary alveolar system|bronchoalveolar system
pancreas primordium;pancreatic primordium|pancreatic anlage|pancreatic endoderm|primordial pancreas
interventricular septum;heart interventricular septum|heart ventricular septum|ventricle septum|ventricular septum|septum membranaceum|interventriculare cordis|s. interventriculare cordis|interventricular septum of heart|septum inferius|intraventricular septum
cardiac mesenchymal cell;
placental hematopoietic stem cell;
basophilic myeloblast;
naive thymus-derived CD8-positive, alpha-beta T cell;naive CD8+ T cell|naive thymus-dervied CD8-positive, alpha-beta T-cell|naive thymus-dervied CD8-positive, alpha-beta T lymphocyte|naive thymus-dervied CD8-positive, alpha-beta T-lymphocyte|T.8Nve.Sp
platelet glycoprotein 4;leukocyte differentiation antigen CD36|GPIIIB|GPIV|PAS-4|CD36|platelet collagen receptor|PAS IV|FAT|platelet glycoprotein IV|glycoprotein IIIb|fatty acid translocase|thrombospondin receptor|GP4|GP3B
lacrimal canaliculus;canaliculus lacrimalis
ILC1;
interlobulary artery endothelial cell;
somatostatin secretion;
endothelial cell of sinusoid;
indifferent gonad;gonad rudiment
upper respiratory tract epithelium;epithelial tissue of upper respiratory tract|upper respiratory tract epithelial tissue|epithelium of upper respiratory tract
6th arch mesenchyme from neural crest;pharyngeal arch 6 mesenchyme from neural crest|neural crest derived arch 6 mesenchyme|branchial arch 6 mesenchyme from neural crest
pharyngeal arch artery;embryonic aortic arch artery|pharyngeal arch artery|PAA|aortic arch|aortic arches|branchial arch artery|branchial aortic arches|pharyngeal arch arteries|pharyngeal arch artery|arteriae arcuum pharyngeorum|aortic arch artery|branchial aortic arches|a. arcuum pharyngeorum
cellular component assembly involved in morphogenesis;
anatomical junction;junction|anatomical junction
polytene cell;
regulation of peripheral tolerance induction;
sensory organ epithelium;
pelvic girdle region;pelvic girdle|girdle - pelvic
granule cell;
semicircular canal;semicircular canals|scc|ductus semicirculares|semicircular ducts|canalis semicircularis
right lung terminal bronchiole;right lung bronchiolus terminalis|terminal bronchiole of right lung|bronchiolus terminalis of right lung
mandibular process mesenchyme from head mesenchyme;
white matter lamina of cerebellum;lamina alba of cerebellar cortex|white laminae of cerebellum|white lamina of cerebellum|laminae albae of cerebellar cortex|isthmus gyri cingulatus|isthmus of gyrus fornicatus|isthmus cinguli|isthmus-2|isthmus of the cingulate gyrus|laminae albae of cerebellar cortex|isthmus gyri cinguli
basal forebrain;pars basalis telencephali|basal forebrain area
dark chief cell of parathyroid cell;
presumptive endocardium;
growth plate cartilage;growth plate
R4 photoreceptor cell;R4 cell
hindlimb cartilage element;hindlimb cartilage condensation
cardioblast;
splanchnopleure;ventral splanchnic mesoderm
detection of UV;
granulocytopoietic cell;
muscle of iris;muscle organ of iris|iris muscle|iris muscle organ
strand of hair;hair|fur|quill|coat/ hair|microchaeta|vibrissa|whisker|coat hair|setulae
stria vascularis of cochlear duct;stria vascularis|stria vascularis of cochlea|psalterial cord|vascular stripe of cochlear duct|vascular stria of cochlear duct|stria vascularis ductus cochlearis
myb proto-oncogene protein;MYB|proto-oncogene c-Myb
stuff accumulating cell;
dermis blood vessel endothelial cell;
fibrous joint;articulatio fibrosa|junctura fibrosa
CD14-low, CD16-positive monocyte;non-classical monocyte, human
endothelial tube;
metanephric mesenchyme;metanephric blastema|metanephric mesoderm|metanephros associated mesenchyme|metanephrogenic mesenchyme
abdomen blood vessel;blood vessel of abdomen
Echinozoa;
myoepithelial cell of lactiferous alveolus;basal cell of alveolus of lactiferous gland|myoepithelial cell of mammary alveolus
mammary stem cell;
duct;anatomical duct|exocrine duct|exocrine gland duct|ducts
IgA memory B cell;memory IgA B-lymphocyte|memory IgA B lymphocyte|memory IgA B cell|IgA memory B-cell|IgA memory B-lymphocyte|memory IgA B-cell|IgA memory B lymphocyte
Vertebrata <Metazoa>;vertebrates|Vertebrata|vertebrates
Bos;oxen, cattle
IgE immunoglobulin complex;
manual digit bone;finger bone|fore limb digit bone|digital bone of hand|hand digit bone|digital bone of manus|hand digit bone
forelimb digital artery;forelimb digital arteries|digital artery of manus|wing digital artery
immune system;
neocortex;neocortex (isocortex)|neopallium|homogenetic cortex|homotypical cortex|isocortex (sensu lato)|neopallial cortex|cerebral neocortex|isocortex|nucleus hypoglossalis|iso-cortex|nonolfactory cortex
CD4-positive type I NK T cell secreting interferon-gamma;CD4-positive type I NK T-cell secreting interferon-gamma|CD4-positive type I NK T cell secreting IFN-gamma|CD4-positive type I NKT cell secreting interferon-gamma|CD4-positive type I NK T lymphocyte secreting interferon-gamma|CD4-positive type I NK T-lymphocyte secreting interferon-gamma
kidney resident dendritic cell;
nasal muscle;muscle of nose
renin secretion into blood stream;
aromatic compound;
tunica intima;Bichat's tunic|intima|tunica intima vasorum
dense connective tissue;
small intestine smooth muscle;non-striated muscle of small bowel|small intestine non-striated muscle|non-striated muscle of small intestine|small bowel non-striated muscle|involuntary muscle of small intestine|small intestine involuntary muscle|small bowel smooth muscle tissue|smooth muscle of small bowel|smooth muscle tissue of small bowel|smooth muscle of small intestine|small bowel smooth muscle|small intestine smooth muscle tissue|small bowel involuntary muscle|involuntary muscle of small bowel|smooth muscle tissue of small intestine
CNS neuron (sensu Vertebrata);
B cell mediated immunity;
scotopic photoreceptor cell;
renal medulla;renal pyramids|kidney medulla|renal medullae|medulla of kidney|renal pyramids set|pyramides renales|medulla renalis|renal medullae set|renal marrow|medullary pyramids
cranial blood vasculature;cranial blood vessel|set of blood vessels of head|cranial blood vessels
pectoral appendage cartilage tissue;pectoral fin cartilage
outer medulla vasa recta descending limb;
appendix goblet cell;goblet cell of epithelium proper of appendix
glycine transport;
muscle tissue of terminal part of digestive tract;rectum muscle|rectum muscle structure
acidophil cell of pars distalis of adenohypophysis;acidophil of pars anterior of adenohypophysis|acidophil of pars distalis of adenohypophysis|pituitary alpha cell|acidophil cell of pars anterior of adenohypophysis
mucosa of terminal bronchiole;mucosa of bronchiolus terminalis|mucous membrane of terminal bronchiole|mucosa of organ of bronchiolus terminalis|terminal bronchiole mucosa|bronchiolus terminalis mucosa of organ|bronchiolus terminalis mucosa|terminal bronchiole mucosa of organ|bronchiolus terminalis mucous membrane|bronchiolus terminalis organ mucosa|mucosa of organ of terminal bronchiole|organ mucosa of bronchiolus terminalis|terminal bronchiole organ mucosa|terminal bronchiole mucous membrane|organ mucosa of terminal bronchiole|mucous membrane of bronchiolus terminalis
bladder organ;bladder
endoglin;cell surface MJ7/18 antigen|CD105|ENG|Edg|END
facial muscle;facial muscle proper|muscle of face|muscle organ of face|facial nerve innervated muscle|facial nerve muscle|face muscle|face muscle organ|facial muscle|mimetic muscles|cranial-facial muscle|muscles of facial expression|musculi faciei|cranio-facial muscle|craniofacial muscle|muscle of facil expression
kidney medulla collecting duct epithelial cell;
proximal-distal subdivision of colon;segment of colon
mucosa of vagina;mucous membrane of vagina|vagina mucous membrane|organ mucosa of vagina|tunica mucosa vaginae|vagina organ mucosa|mucosa of organ of vagina|vaginal mucosa|vagina mucosa|vagina mucosa of organ
regulation of developmental process;
mesenchyme of tongue;tongue mesenchyme
metanephric descending thin limb;
endochondral bone;ossified chondrogenic bone|cartilaginous bone|endochondral bones
smooth muscle cell of the subclavian artery;
double-positive blast;activated double-positive thymocyte|T.DPb.Th
forelimb endochondral element;forelimb skeletal element
positive regulation of leukocyte cell-cell adhesion;
border cell of cochlea;
anucleate cell;non-nucleated cell
mesangium;
SIRP/SHPS-1 family protein;
arthroconidium;arthrospore
articular chondrocyte of knee joint;
gastric goblet cell;goblet cell of epithelium of stomach
regulation of CD4-positive, alpha-beta T cell activation;
thymus epithelium;epithelial tissue of thymus gland|thymic epithelial tissue|thymus gland epithelial tissue|epithelial tissue of thymus|thymus epithelial tissue|epithelium of thymus|epithelium of thymus gland|thymus gland epithelium|thymic epithelium
serous membrane;tunica serosa|wall of serous sac|serosa
olfactory system;
Cetartiodactyla;whales, hippos, ruminants, pigs, camels etc.|even-toed ungulates
B-1b B cell;B1b cell|B1b B lymphocyte|B-1b B-cell|B1b B-lymphocyte|B-1b B-lymphocyte|B-1b B lymphocyte|B1b B cell|B1b B-cell
regional part of cerebellar cortex;segment of cerebellar cortex|cerebellar cortical segment
pedal digit epithelium;toe epithelium|hind limb digit epithelium|foot digit epithelium
Tetraodon;
type-4 epithelial cell of thymus;dark thymic epithelial cell
gamma-delta T cell activation;
kidney cortex artery cell;
Theropoda;
future cardiac atrium;primordial atrium|presumptive atrium heart tube|primordial cardiac atrium
obsolete cell by class;
periosteum;
sympathetic neuron;
progenitor cell of endocrine pancreas;pancreatic endocrine progenitor|pancreatic islet progenitor cell
sulfur compound metabolic process;
urogenital sinus epithelium;UGE|epithelium of urogenital sinus
smooth muscle of trachea;tracheal smooth muscle|trachea smooth muscle
nucleobase-containing compound metabolic process;
mesenchyme derived from neural crest;neural crest mesenchyme|neural crest derived mesenchyme|mesenchyme from neural crest
regulation of angiogenesis;
lens vesicle epithelium;
aqueous drainage system;
decreased quality;
bone of dorsum;back bone|dorsal region bone|bone of back
Equidae;horses
germinal center B cell differentiation;
myeloid leukocyte;
cellular biosynthetic process;
NKG2-A/NKG2-B type II integral membrane protein;KLRC1|CD159 antigen-like family member A|NKG2-A/B-activating NK receptor|NK cell receptor A|CD159a|NKG2A
fibroblast of periodontium;
central nervous system gray matter layer;grey matter layer|grey matter layer of neuraxis|CNS grey matter layer|gray matter layer of neuraxis|CNS gray matter layer
Otophysa;Otophysi
type I cell of adrenal medulla;noradrenergic chromaffin cell
spinal vein;vena spinalis|spinal branch
skull;skeletal system of head|cranial skeleton
epididymis smooth muscle;epididymis involuntary muscle|smooth muscle tissue of epididymis|epididymis non-striated muscle|involuntary muscle of epididymis|epididymis smooth muscle tissue|non-striated muscle of epididymis|smooth muscle of epididymis
primary heart field;first heart field|primary heart field|PHF|heart field|FHF
high affinity interleukin-8 receptor;
C-X-C chemokine receptor type 5;monocyte-derived receptor 15|CXC-R5|CXCR-5|burkitt lymphoma receptor 1 homolog|burkitt lymphoma receptor 1|MDR-15|CXCR5|CD185|chemokine receptor CXCR5|Gpcr6|MDR15|BLR1
jejunal epithelium;epithelium of jejunum
SLAM family member 5;cell surface antigen MAX.3|signaling lymphocytic activation molecule 5|leukocyte differentiation antigen CD84|CD84|hly9-beta|SLAMF5
regulation of lymphocyte differentiation;
cell projection organization;
bronchial mucosa;mucosa of organ of bronchi|mucosa of bronchial trunk|mucous membrane of bronchus|mucosa of bronchus|bronchial trunk mucosa of organ|bronchus mucous membrane|bronchial trunk mucosa|bronchus organ mucosa|bronchi mucosa|bronchi organ mucosa|mucosa of bronchi|bronchus mucosa of organ|organ mucosa of bronchi|bronchus mucosa|mucosa of organ of bronchus|bronchial trunk mucous membrane|tunica mucosa bronchi|organ mucosa of bronchial trunk|mucous membrane of bronchial trunk|organ mucosa of bronchus|bronchi mucous membrane|bronchi mucosa of organ|mucosa of organ of bronchial trunk|bronchial trunk organ mucosa|mucous membrane of bronchi
gall bladder;gallbladder|gall bladder|vesica fellea|vesica biliaris
Kolmer-Agduhr neuron;KA neuron|KA interneuron|Kolmer-Agduhr cell|KA cell
reproductive process;
parafollicular cell;thyroid parafollicular cell|clear cell of thyroid gland|C cell|C cell of thyroid gland|parafollicular cell of thyroid gland
type I taste bud cell;dark tongue cell|type I taste cell|type taste 1 cell
lymphocyte antigen 6G;ly-6G|Ly6g|ly-6G.1
Gallus gallus;chicken|bantam|chickens|Gallus gallus domesticus|Gallus domesticus
negative regulation of leukocyte activation;
hair follicle dermal papilla cell;
skin of limb;limb zone of skin|zone of skin of limb|limb skin
pharyngeal arch artery 2;aortic arch 2|second branchial arch artery|2nd arch artery|AA2|hyoid aortic arch|second aortic arch|2nd aortic arch artery|2nd pharyngeal arch artery|2nd branchial arch artery
endocrine-paracrine cell of prostate gland;neuro-epithelial cell of prostate gland|glandular cell of prostate
Pongo pygmaeus;Bornean orangutan|Orangutan|Orang-utan|orang utan
C-type lectin domain family 6 member A;dendritic cell-associated C-type lectin 2|CLEC6A|dectin-2|DC-associated C-type lectin 2|C-type lectin superfamily member 10|DECTIN2|CLECSF10|Clec4n
trophoblast giant cell;giant trophoblast cell
brainstem white matter;brainstem tract/commissure|brainstem tracts|brainstem tracts and commissures|brain stem white matter
germ line stem cell (sensu Nematoda and Protostomia);
B-1 B cell;B1 B lymphocyte|B-1 B-lymphocyte|B1 cell|B1 B-cell|B-1 B-cell|B-1 B lymphocyte|B-1 cell|B1 B cell|B1 B-lymphocyte
midgut duodenum mesentery;
lateral line placode;lateral line placodes
intralobular bile duct;canal of Herring|cholangiole|ductus interlobularis bilifer|duct of Herring|canal of Hering|intrahepatic bile ductule|canals of Hering
midbrain;MB|mesencephalon
kidney outer medulla cell;
membranous labyrinth;labyrinthus membranaceus
Myxiniformes;Myxinoidea|hagfishes
CD14-positive, CD16-positive monocyte;CD16+ monocyte
chromosome organization;
epidermal cell;cell of epidermis|epithelial cell of skin
regulation of type 2 immune response;
fallopian tube;salpinges|salpinx|mammalian oviduct|uterine tube (sensu Mammalia)|paramesonephric duct of female|tuba uterina|fallopian tubes|female paramesonephric duct
T1 B cell;T1 B-lymphocyte|T1 B lymphocyte|T1 B-cell|transitional stage 1 B cell
arm nerve;brachial region nerve|nerve of brachial region|nerve of arm
utricle of membranous labyrinth;utriculus|utricle|membranous labyrinth utricle|utriculus (labyrinthus vestibularis)
squamous cell of ectocervix;ectocervical squamous cell
IgG immunoglobulin complex;
DNA conformation change;
Mus <mouse, subgenus>;Mus
cranial bone;cranium bone
glandular cell of esophagus;
epithelium of duct of salivary gland;salivary duct epithelium|salivary ductal epithelium|epithelium of salivary duct
adventitia of epididymis;epididymis adventitia
ileal epithelium;epithelium of ileum
basket cell;
Colubridae;colubrid snakes
structural cell;
columnar epithelium;
granular cell of epidermis;
blood plasma;portion of plasma|plasma|portion of blood plasma|blood plasm
eggshell secreting cell;
left lung respiratory bronchiole;left lung bronchiolus respiratorius|respiratory bronchiole of left lung|bronchiolus respiratorius of left lung
CD94-positive Ly49CI-positive natural killer cell;NK.49Cl+94+.Sp
effector CD4-positive, alpha-beta T cell;effector CD4+ T cell|effector CD4-positive, alpha-beta T lymphocyte|effector CD4-positive, alpha-beta T-lymphocyte|effector CD4-positive, alpha-beta T-cell
integumental system;integumentary system|integumentum commune|external covering of organism|dermal system|surface|organism surface|body surface
tooth row;row of teeth|dental arcade|tooth rows
exocrine system;exocrine glandular system
pedal digit phalanx endochondral element;pedal digit phalanx skeletal element|pedal digit phalanx element
pronephric nephron tubule epithelial cell;
urogenital fold;urethral fold|urogenital fold|urogenital ridge
papillary duct;papillary duct|papillary duct of kidney|renal papillary duct|Bellini's duct|duct of Bellini
vaginal vein;vagina vein|vein of vagina
gray matter of telencephalon;predominantly gray regional part of telencephalon
pericardial sac;pericardium
CD8-positive, CD25-positive, alpha-beta regulatory T cell;CD8-positive, CD25-positive Treg|CD8+CD25+ Treg|CD8+CD25+ T-lymphocyte |CD8+CD25+ T cell|CD8+CD25+ T-cell|CD8-positive, CD25-positive, alpha-beta regulatory T lymphocyte|CD8+CD25+ T(reg)|CD8+CD25+ T lymphocyte|CD8-positive, CD25-positive, alpha-beta regulatory T-lymphocyte|CD8-positive, CD25-positive, alpha-beta regulatory T-cell
microvascular endothelial cell;
regulation of adaptive immune response;
1st arch mesenchyme;mesenchyme of 1st arch
neuron of the ventral spinal cord;
meiosis II;
retinal neural layer;stratum nervosum retinae|neuroretina|neural layer of retina|neural retina|stratum nervosum (retina)|neural retinal epithelium
gestational hematopoietic stem cell;
axial muscle;
ear vesicle;otic vesicle|otocyst|auditory vesicle|acoustic vesicle|OV
hindlimb muscle;hind limb muscle organ|muscle of free lower limb|lower limb skeletal muscle|muscle organ of hindlimb|muscle organ of inferior member|muscle organ of hind limb|inferior member muscle organ|hindlimb muscle organ|lower extremity muscle organ|free lower limb muscle|muscle of posterior limb|muscle organ of lower extremity
obsolete dentine secreting cell;
basal cell of epithelium of terminal bronchiole;
stromal cell of bone marrow;bone marrow stromal cell
corticosteroid hormone secretion;
kidney outer medulla collecting duct principal cell;
bronchial lymph node;
thymus subunit;lobe or lobule of thymus
hermaphroditic organism;hermaphrodite|dioecious organism
kidney arterial blood vessel cell;
dorsal hair;back hair|dorsal coat hair|hair of back
jaw epithelium;
Boettcher cell;Boettcher's cell|Bottcher cell|Bottcher's cell
subcutaneous fat cell;subcutaneous adipocyte
gastrointestinal system smooth muscle;smooth muscle tissue of gastrointestinal system
ureter ureteric bud;
outer medulla vasa recta ascending limb;
myelinating Schwann cell;peripheral neuroglial cell|Schwann cell|neurilemmal cell
bulb of hair follicle;hair follicle bulb|hair bulb|coat hair bulb
mature CD8_alpha-positive CD11b-negative dendritic cell;
low affinity immunoglobulin gamma Fc region receptor III;CD16|IgG Fc receptor III|FcRIII|Fcgr3|Fc-gamma RIII
fibroblast of pulmonary artery;
warmth sensing thermoreceptor cell;
proximal epiphysis of phalanx of pes;base of phalanx of foot|basis phalangis (pedis)|basal epiphysis of phalanx of foot|proximal epiphysis of phalanx of toe|basis phalangis pedis
surface feature shape;
uninucleate conidium;
multinucleate;
neuromast mantle cell;
Longirostres;
eye muscle;
forelimb skeleton;set of bones of upper limb|upper limb skeleton|fore limb skeleton|skeleton of upper limb|skeleton of free upper limb|skeleton of forelimb|bones of upper limb|skeleton of pectoral limb|ossa membri superioris|pectoral limb skeleton|free upper limb skeleton|forelimb skeleton|wing skeleton
synovial joint of pelvic girdle;pelvic girdle joint|joint of pelvic girdle
outer renal medulla interstitium;kidney outer medulla interstitium|outer medullary interstitium
microvillus;
Clupeocephala;
nerve of abdominal segment;abdominal segment nerve
CD8-alpha-beta-positive, alpha-beta intraepithelial T cell;intraepithelial lymphocyte|IEL|CD8-positive, alpha-beta intraepithelial T lymphocyte|CD8-positive, alpha-beta intraepithelial T-lymphocyte|CD8-positive, alpha-beta intraepithelial T-cell
respiratory system connective tissue;connective tissue of apparatus respiratorius|textus connectivus of respiratory system|apparatus respiratorius connective tissue|respiratory system textus connectivus|textus connectivus of apparatus respiratorius|portion of connective tissue of respiratory system|respiratory system portion of connective tissue|apparatus respiratorius portion of connective tissue|portion of connective tissue of apparatus respiratorius|apparatus respiratorius textus connectivus|connective tissue of respiratory system
frontal cortex;gray matter of frontal lobe|grey matter of frontal lobe|frontal lobe cortex|cortex of frontal lobe|frontal neocortex
back connective tissue;mesenchyne of back
positive regulation of leukocyte activation;
scleral cell;
positive regulation of immune response;
caecum dorsal mesentery;
submucosa of uterine tube;submucosa of fallopian tube|tela submucosa tubae uterinae|submucous layer of uterine tube|uterine submucosa
protein localization to organelle;
lung ciliated cell;
kidney interstitium;interstitial tissue of kidney|renal interstitium|renal stroma|stroma of kidney|renal interstitial tissue|kidney interstitium group
negative regulation of multicellular organismal process;
runt-related transcription factor 1;PEA2-alpha B|SL3-3 enhancer factor 1 alpha B subunit|polyomavirus enhancer-binding protein 2 alpha B subunit|core-binding factor subunit alpha-2|RUNX1|CBF-alpha-2|SL3/AKV core-binding factor alpha B subunit|oncogene AML-1|acute myeloid leukemia 1 protein|PEBP2-alpha B|CBFA2|AML1|Pebp2ab
CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor;CD71-positive common myeloid precursor OR CD7-negative lymphoid precursor OR CD7-positive lymphoid
glandular epithelial cell;
musculature of hindlimb stylopod;musculature of thigh|set of muscles of thigh|muscle group of thigh|thigh musculature
early pro-B cell;
CD38-positive naive B cell;CD38+ naive B cell|CD38+ naive B-cell|CD38-positive naive B-lymphocyte|CD38+ naive B lymphocyte|CD38-positive naive B-cell|CD38+ naive B-lymphocyte|CD38-positive naive B lymphocyte
acoustico-facial VII-VIII ganglion complex;acousticofacial ganglion|facio-acoustic ganglion complex VII-VIII|facio-acoustic ganglion|facio-acoustic ganglion complex|facio-acoustic VII-VIII ganglion complex
obsolete axial cell;
positive regulation of peripheral tolerance induction;
sebaceous gland of eyelid;
mixed ectoderm/mesoderm/endoderm-derived structure;
bone of craniocervical region;head or neck bone|cranial bone
eye sebaceous gland;vertebrate eye sebaceous gland|camera-type eye sebaceous gland|sebaceous gland of vertebrate eye|sebaceous gland of camera-type eye
Peloderinae;
mesenchyme of mammary gland;lobe of breast mesenchyme|lactiferous gland mesenchyme|lobe of mammary gland mesenchyme|mesenchyme of lobe of breast|mammary mesenchyme|mesenchyme of lactiferous gland|mesenchyme of lobe of mammary gland|mammary gland mesenchyme
perineuronal satellite cell;perineuronal satellite oligodendroglial cell|satellite oligodendrocyte|perineural satellite cell
lamina propria of vagina;vagina stroma
neuron associated cell;
nuclear division;
glandular cell of the large intestine;
arteriole;arteriola
cadherin;
upper arm connective tissue;
obsolete null lymphocyte;
kidney;reniculate kidney
pineal body;Pi|pineal gland|glandula pinealis|pineal organ|corpus pineale|pineal gland (Galen)|frontal organ|stirnorgan|epiphysis cerebri|pineal|conarium|epiphysis
IgG immunoglobulin complex, circulating;
Myxinidae;hagfishes
systemic artery;systemic arterial subtree
alternatively activated macrophage;M2 macrophage
nasal-associated lymphoid tissue;NALT|naso-pharyngeal lymphoid tissue
shoulder nerve;nerve of shoulder
stratum corneum of epidermis;horny layer|keratinized squame layer|stratum corneum|cornified layer|epidermis stratum corneum|horny layer of epidermis|keratinized squame layer of epidermis|stratum corneum epidermidis
integrin alpha-E;integrin alpha-IEL|CD103|ITGAE|integrin alpha M290|mucosal lymphocyte 1 antigen|HML-1 antigen
pedal digit phalanx pre-cartilage condensation;foot phalanx pre-cartilage condensation|pes phalanx pre-cartilage condensation|hindlimb phalanx pre-cartilage condensation|hind limb digit phalanx pre-cartilage condensation|foot digit phalanx pre-cartilage condensation
rod bipolar cell;
somatic diversification of immunoglobulins involved in immune response;
skeletal muscle tissue;skeletal muscle|skeletal muscle system|somatic muscle
bladder microvascular endothelial cell;
obsolete cytotoxic T cell;
kidney loop of Henle medullary thick ascending limb epithelial cell;
immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte;immature Vg1.1-positive, Vd6.3-negative T cell
male prepuce epithelium;epithelium of prepuce|epithelial tissue of prepuce|prepuce epithelial tissue|prepuce of penis epithelium|epithelial tissue of foreskin|epithelial tissue of penile prepuce|epithelium of prepuce of penis|epithelium of penile prepuce|prepuce epithelium|epithelium of foreskin|penile prepuce epithelial tissue|epithelial tissue of prepuce of penis|penile prepuce epithelium|foreskin epithelial tissue|prepuce of penis epithelial tissue|foreskin epithelium
outflow tract endothelium;
gonadal ridge;indifferent gonadal ridge|gonadal ridge|genital ridge|crista gonadalis|genital cord
MHC class II protein complex;
diencephalon;DiE|between brain|thalamencephalon|mature diencephalon|interbrain|diencephalon|betweenbrain
