Thymopentin  ;;;;;;;;;;;;;;;;;;;;;;;
Thymus Gland-Calf  ;;;;;;;;;;;;;;;;;;;;;;;
Thyrotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
thyrotropin alfa (USP)  ;;;;;;;;;;;;;;;;;;;;;;;
Thyrotropin-Releasing Hormone  ;;;;;;;;;;;;;;;;;;;;;;;
Tiapride  ;;;;;;;;;;;;;;;;;;;;;;;
Ticarcillin  ;;;;;;;;;;;;;;;;;;;;;;;
TICK-BORN ENCEPHALITIS VACC  ;;;;;;;;;;;;;;;;;;;;;;;
TIEMONIUM  ;;;;;;;;;;;;;;;;;;;;;;;
tigecycline  ;;;;;;;;;;;;;;;;;;;;;;;
Tilidine  ;;;;;;;;;;;;;;;;;;;;;;;
tilmicosin  ;;;;;;;;;;;;;;;;;;;;;;;
Timothy grass pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
Timothy grass pollen extract  BAU;;;; Injectable Solution;;;;;;;;;;;;;;;;;;;
Timothy grass pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Tinidazole  ;;;;;;;;;;;;;;;;;;;;;;;
tinzaparin  ;;;;;;;;;;;;;;;;;;;;;;;
tinzaparin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Tinzaparin sodium  UNT;;;;;;;;;;;;;;;;;;;;;;;
tirilazad  ;;;;;;;;;;;;;;;;;;;;;;;
tirofiban  ;;;;;;;;;;;;;;;;;;;;;;;
tiropramide  ;;;;;;;;;;;;;;;;;;;;;;;
tobacco leaf extract  ;;;;;;;;;;;;;;;;;;;;;;;
tobacco leaf extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Tobramycin  ;;;;;;;;;;;;;;;;;;;;;;;
Tocainide  ;;;;;;;;;;;;;;;;;;;;;;;
tocilizumab  ;;;;;;;;;;;;;;;;;;;;;;;
Tolazoline  ;;;;;;;;;;;;;;;;;;;;;;;
Tolbutamide  ;;;;;;;;;;;;;;;;;;;;;;;
Tolperisone  ;;;;;;;;;;;;;;;;;;;;;;;
tomato allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Topotecan  ;;;;;;;;;;;;;;;;;;;;;;;
torsemide  ;;;;;;;;;;;;;;;;;;;;;;;
tositumomab  ;;;;;;;;;;;;;;;;;;;;;;;
tragacanth allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
tramadol hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Tranexamic Acid  ;;;;;;;;;;;;;;;;;;;;;;;
Trapidil  ;;;;;;;;;;;;;;;;;;;;;;;
trastuzumab  ;;;;;;;;;;;;;;;;;;;;;;;
Trazodone  ;;;;;;;;;;;;;;;;;;;;;;;
tree of heaven pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
tree of heaven pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
treosulfan  ;;;;;;;;;;;;;;;;;;;;;;;
Treprostinil  ;;;;;;;;;;;;;;;;;;;;;;;
Trichoderma harzianum extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichoderma harzianum extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Trichoderma viride allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton (fungus)  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton (fungus)  PNU;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton antigen  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton antigen  PNU;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton antigen  UNT;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton mentagrophytes extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton mentagrophytes extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton rubrum allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton schoenleinii allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichophyton tonsurans allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichothecium roseum extract  ;;;;;;;;;;;;;;;;;;;;;;;
Trichothecium roseum extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
TRICOPHYTON PREPARATION  ;;;;;;;;;;;;;;;;;;;;;;;
TRICOPHYTON PREPARATION  PNU;;;;;;;;;;;;;;;;;;;;;;;
Trifluoperazine  ;;;;;;;;;;;;;;;;;;;;;;;
Triflupromazine  ;;;;;;;;;;;;;;;;;;;;;;;
Trihexyphenidyl  ;;;;;;;;;;;;;;;;;;;;;;;
Triiodothyronine  ;;;;;;;;;;;;;;;;;;;;;;;
Trimebutine  ;;;;;;;;;;;;;;;;;;;;;;;
Trimeprazine  ;;;;;;;;;;;;;;;;;;;;;;;
Trimethaphan  ;;;;;;;;;;;;;;;;;;;;;;;
Trimethobenzamide hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Trimethoprim  ;;;;;;;;;;;;;;;;;;;;;;;
Trimetrexate  ;;;;;;;;;;;;;;;;;;;;;;;
Trimipramine  ;;;;;;;;;;;;;;;;;;;;;;;
trisodium citrate  ;;;;;;;;;;;;;;;;;;;;;;;
Tromethamine  ;;;;;;;;;;;;;;;;;;;;;;;
tropatepine  ;;;;;;;;;;;;;;;;;;;;;;;
tropisetron  ;;;;;;;;;;;;;;;;;;;;;;;
Trospium  ;;;;;;;;;;;;;;;;;;;;;;;
trout allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Tubocurarine  ;;;;;;;;;;;;;;;;;;;;;;;
tulathromycin  ;;;;;;;;;;;;;;;;;;;;;;;
tuna allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
turkey allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
turnip allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Tylosin  ;;;;;;;;;;;;;;;;;;;;;;;
Urea  ;;;;;;;;;;;;;;;;;;;;;;;
Urofollitropin  ;;;;;;;;;;;;;;;;;;;;;;;
Urofollitropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Urokinase  UNT;;;;;;;;;;;;;;;;;;;;;;;
ustekinumab  ;;;;;;;;;;;;;;;;;;;;;;;
Utah juniper pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
Utah juniper pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
valley oak pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
valley oak pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Valproic Acid  ;;;;;;;;;;;;;;;;;;;;;;;
Vancomycin  ;;;;;;;;;;;;;;;;;;;;;;;
vanilla bean allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
varicella-zoster immune globulin  ;;;;;;;;;;;;;;;;;;;;;;;
varicella-zoster immune globulin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Vasopressin (USP)  UNT;;;;;;;;;;;;;;;;;;;;;;;
veal allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Vecuronium  ;;;;;;;;;;;;;;;;;;;;;;;
Vecuronium Bromide  ;;;;;;;;;;;;;;;;;;;;;;;
velaglucerase alfa  UNT;;;;;;;;;;;;;;;;;;;;;;;
velvet grass pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
velvet grass pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
venison allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
Verapamil  ;;;;;;;;;;;;;;;;;;;;;;;
Verapamil hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Verteporfin  ;;;;;;;;;;;;;;;;;;;;;;;
Verticillium albo-atrum extract  ;;;;;;;;;;;;;;;;;;;;;;;
Vidarabine  ;;;;;;;;;;;;;;;;;;;;;;;
Viloxazine  ;;;;;;;;;;;;;;;;;;;;;;;
Vinblastine  ;;;;;;;;;;;;;;;;;;;;;;;
vinburnine  ;;;;;;;;;;;;;;;;;;;;;;;
Vincristine Sulfate  ;;;;;;;;;;;;;;;;;;;;;;;
Vindesine  ;;;;;;;;;;;;;;;;;;;;;;;
vinorelbine  ;;;;;;;;;;;;;;;;;;;;;;;
Viscum album preparation  ;;;;;;;;;;;;;;;;;;;;;;;
Vitamin A  UNT;;;;;;;;;;;;;;;;;;;;;;;
Vitamin B  ;;;;;;;;;;;;;;;;;;;;;;;
Vitamin B   ;;;;;;;;;;;;;;;;;;;;;;;
Vitamin E  UNT;;;;;;;;;;;;;;;;;;;;;;;
Vitamin K  ;;;;;;;;;;;;;;;;;;;;;;;
Vitamin K   ;;;;;;;;;;;;;;;;;;;;;;;
voriconazole  ;;;;;;;;;;;;;;;;;;;;;;;
walnut allergenic extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Warfarin Sodium  ;;;;;;;;;;;;;;;;;;;;;;;
WASP VENOM PROTEIN  ;;;;;;;;;;;;;;;;;;;;;;;
Water  ;;;;;;;;;;;;;;;;;;;;;;;
water birch pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
water oak pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
water oak pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
watercress allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
watermelon allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
weakleaf bur ragweed pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western black willow pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western juniper pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western juniper pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
western ragweed pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western ragweed pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
western sycamore pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western sycamore pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
western waterhemp pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western waterhemp pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
western wheatgrass pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western wheatgrass pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
western white pine pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
western white pine pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
wheat bran allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat loose smut extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat loose smut extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
wheat pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
wheat rust extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat smut allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat smut allergenic extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
wheat stem rust extract  ;;;;;;;;;;;;;;;;;;;;;;;
wheat stem rust extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white (mexican) dock pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white alder pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white alder pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white ash pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white ash pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white catfish allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
white fish allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
white hickory pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white hickory pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white kidney bean allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
white mulberry pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white mulberry pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white oak pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white oak pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white pepper allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
white poplar pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white poplar pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
white seedless grape allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
white sweet clover pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
white-rot fungus extract  ;;;;;;;;;;;;;;;;;;;;;;;
white-tailed deer hair extract  ;;;;;;;;;;;;;;;;;;;;;;;
whole wheat allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
wine grape allergenic extract  ;;;;;;;;;;;;;;;;;;;;;;;
wing scale pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
wing scale pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
winterfat pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
wormwood sage pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
wormwood sage pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
Xanthinol Niacinate  ;;;;;;;;;;;;;;;;;;;;;;;
Xylazine  ;;;;;;;;;;;;;;;;;;;;;;;
Xylitol  ;;;;;;;;;;;;;;;;;;;;;;;
yellow birch pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
yellow dock pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
yellow dock pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
yellow hornet venom protein  ;;;;;;;;;;;;;;;;;;;;;;;
yellow pine pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
yellow pine pollen extract  UNT;;;;;;;;;;;;;;;;;;;;;;;
yellow sweet clover pollen extract  ;;;;;;;;;;;;;;;;;;;;;;;
yellow-fever virus  UNT;;;;;;;;;;;;;;;;;;;;;;;
yellowjacket venom protein  ;;;;;;;;;;;;;;;;;;;;;;;
yohimbine  ;;;;;;;;;;;;;;;;;;;;;;;
ziconotide  ;;;;;;;;;;;;;;;;;;;;;;;
Zidovudine  ;;;;;;;;;;;;;;;;;;;;;;;
zinc chloride  ;;;;;;;;;;;;;;;;;;;;;;;
Zinc Sulfate  ;;;;;;;;;;;;;;;;;;;;;;;
ziprasidone  ;;;;;;;;;;;;;;;;;;;;;;;
ziv-aflibercept  ;;;;;;;;;;;;;;;;;;;;;;;
zoledronic acid  ;;;;;;;;;;;;;;;;;;;;;;;
Zuclopenthixol  ;;;;;;;;;;;;;;;;;;;;;;;
abatacept  ;;;;;;;;;;;;;;;;;;;;;;;
abciximab  ;;;;;;;;;;;;;;;;;;;;;;;
abobotulinumtoxinA  UNT;;;;;;;;;;;;;;;;;;;;;;;
Acebutolol  ;;;;;;;;;;;;;;;;;;;;;;;
Acepromazine Maleate  ;;;;;;;;;;;;;;;;;;;;;;;
Acetaminophen  ;;;;;;;;;;;;;;;;;;;;;;;
Acetazolamide  ;;;;;;;;;;;;;;;;;;;;;;;
Acetylcholine Chloride  ;;;;;;;;;;;;;;;;;;;;;;;
Acetylcysteine  ;;;;;;;;;;;;;;;;;;;;;;;
Aclarubicin  ;;;;;;;;;;;;;;;;;;;;;;;
Acyclovir  ;;;;;;;;;;;;;;;;;;;;;;;
adalimumab  ;;;;;;;;;;;;;;;;;;;;;;;
Adenosine  ;;;;;;;;;;;;;;;;;;;;;;;
Adenosine Monophosphate  ;;;;;;;;;;;;;;;;;;;;;;;
aflibercept  ;;;;;;;;;;;;;;;;;;;;;;;
agalsidase beta  ;;;;;;;;;;;;;;;;;;;;;;;
alatrofloxacin  ;;;;;;;;;;;;;;;;;;;;;;;
Albuterol  ;;;;;;;;;;;;;;;;;;;;;;;
Aldesleukin  ;;;;;;;;;;;;;;;;;;;;;;;
alefacept  ;;;;;;;;;;;;;;;;;;;;;;;
alemtuzumab  ;;;;;;;;;;;;;;;;;;;;;;;
Alfentanil  ;;;;;;;;;;;;;;;;;;;;;;;
alglucerase  UNT;;;;;;;;;;;;;;;;;;;;;;;
alglucosidase alfa  ;;;;;;;;;;;;;;;;;;;;;;;
Allopurinol  ;;;;;;;;;;;;;;;;;;;;;;;
Alprostadil  ;;;;;;;;;;;;;;;;;;;;;;;
Alteplase  ;;;;;;;;;;;;;;;;;;;;;;;
Amifostine  ;;;;;;;;;;;;;;;;;;;;;;;
Amikacin Sulfate  ;;;;;;;;;;;;;;;;;;;;;;;
-Aminocaproic Acid  ;;;;;;;;;;;;;;;;;;;;;;;
Aminopentamide sulfate  ;;;;;;;;;;;;;;;;;;;;;;;
Amiodarone hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Amitriptyline Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Amobarbital  ;;;;;;;;;;;;;;;;;;;;;;;
Amoxicillin  ;;;;;;;;;;;;;;;;;;;;;;;
Amphotericin B  ;;;;;;;;;;;;;;;;;;;;;;;
amphotericin B liposomal  ;;;;;;;;;;;;;;;;;;;;;;;
Ampicillin  ;;;;;;;;;;;;;;;;;;;;;;;
Amsacrine  ;;;; ;; ; salicylamide  ;;;;;;;;;;;;;;;;
anidulafungin  ;;;;;;;;;;;;;;;;;;;;;;;
Anistreplase  UNT;;;;;;;;;;;;;;;;;;;;;;;
ANTI-INHIBITOR COAGULANT COMPLEX  UNT;;;;;;;;;;;;;;;;;;;;;;;
Antilymphocyte Immunoglobulin  ;;;;;;;;;;;;;;;;;;;;;;;
Antithrombin III  UNT;;;;;;;;;;;;;;;;;;;;;;;
Apomorphine  ;;;;;;;;;;;;;;;;;;;;;;;
Aprotinin  ;;;;;;;;;;;;;;;;;;;;;;;
ardeparin sodium  UNT;;;;;;;;;;;;;;;;;;;;;;;
argatroban  ;;;;;;;;;;;;;;;;;;;;;;;
Arginine  ;;;; ;; ; Glycine  ;;;;;;;;;;;;;;;;
aripiprazole  ;;;;;;;;;;;;;;;;;;;;;;;
arsenic trioxide  ;;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ;;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ;;;;;;;;;;;;;;;;;;;;;;;
ASPARAGINASE  UNT;;;;;;;;;;;;;;;;;;;;;;;
Atenolol  ;;;;;;;;;;;;;;;;;;;;;;;
atipamezole  ;;;;;;;; Sodium Chloride  MEQ; ; sodium phosphate  MEQ; Injectable Solution;;;;;;;;;;;;
Atracurium Besylate  ;;;;;;;;;;;;;;;;;;;;;;;
autologous cultured chondrocytes  CELLS;;;;;;;;;;;;;;;;;;;;;;;
Azathioprine  ;;;;;;;;;;;;;;;;;;;;;;;
Azithromycin  ;;;;;;;;;;;;;;;;;;;;;;;
Azlocillin  ;;;;;;;;;;;;;;;;;;;;;;;
Aztreonam  ;;;;;;;;;;;;;;;;;;;;;;;
Bacitracin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Baclofen  ;;;;;;;;;;;;;;;;;;;;;;;
Baclofen  ;;;;;;;;;;;;;;;;;;;;;;;
Baclofen  ;;;;;;;;;;;;;;;;;;;;;;;
basiliximab  ;;;;;;;;;;;;;;;;;;;;;;;
belatacept  ;;;;;;;;;;;;;;;;;;;;;;;
belimumab  ;;;;;;;;;;;;;;;;;;;;;;;
Bendamustine hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
benztropine mesylate  ;;;;;;;;;;;;;;;;;;;;;;;
Betamethasone  ;;;;;;;;;;;;;;;;;;;;;;;
Bethanechol Chloride  ;;;;;;;;;;;;;;;;;;;;;;;
bevacizumab  ;;;;;;;;;;;;;;;;;;;;;;;
bivalirudin  ;;;;;;;;;;;;;;;;;;;;;;;
Bleomycin  UNT;;;;;;;;;;;;;;;;;;;;;;;
bortezomib  ;;;;;;;;;;;;;;;;;;;;;;;
Botulism Immune Globulin IV Human  ;;;;;;;;;;;;;;;;;;;;;;;
brentuximab vedotin  ;;;;;;;;;;;;;;;;;;;;;;;
bretylium  ;;;;;;;;;;;;;;;;;;;;;;;
Bromhexine  ;;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine Maleate  ;;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine Maleate  ;;;;;;;;;;;;;;;;;;;;;;;
Bumetanide  ;;;; ;; Oral Capsule;;;;;;;;;;;;;;;;;
Bupivacaine Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Buprenorphine  ;;;;;;;;;;;;;;;;;;;;;;;
Buserelin  ;;;;;;;;;;;;;;;;;;;;;;;
Busulfan  ;;;;;;;;;;;;;;;;;;;;;;;
Butorphanol  ;;;;;;;;;;;;;;;;;;;;;;;
Butorphanol Tartrate  ;;;;;;;;;;;;;;;;;;;;;;;
butylscopolamine bromide  ;;;;;;;;;;;;;;;;;;;;;;;
C inhibitor (Human)  UNT;;;;;;;;;;;;;;;;;;;;;;;
cabazitaxel  ;;;;;;;;;;;;;;;;;;;;;;;
caffeine citrate  ;;;;;;;;;;;;;;;;;;;;;;;
Calcitriol  ;;;;;;;;;;;;;;;;;;;;;;;
Calcium Gluconate  ;;;; Lozenge;;;;;;;;;;;;;;;;;;;
canakinumab  ;;;; Topical Spray;;;;;;;;;;;;;;;;;;;
Capreomycin  ;;;;;;;;;;;;;;;;;;;;;;;
Carbachol  ;;;;;;;;;;;;;;;;;;;;;;;
Carbenicillin  ;;;;;;;;;;;;;;;;;;;;;;;
Carboplatin  ;;;;;;;;;;;;;;;;;;;;;;;
Carboprost  ;;;;;;;;;;;;;;;;;;;;;;;
carfilzomib  ;;;;;;;;;;;;;;;;;;;;;;;
Carmustine  ;;;;;;;;;;;;;;;;;;;;;;;
carprofen  ;;;;;;;;;;;;;;;;;;;;;;;
Caspofungin  ;;;;;;;; Thiamine ; Vitamin B  Oral Tablet;;;;;;;;;;;;;;
Cefamandole  ;;;;;;;;;;;;;;;;;;;;;;;
Cefazolin  ;;;;;;;;;;;;;;;;;;;;;;;
cefepime  ;;;;;;;;;;;;;;;;;;;;;;;
Cefmetazole  ;;;;;;;;;;;;;;;;;;;;;;;
Cefonicid  ;;;;;;;;;;;;;;;;;;;;;;;
Cefoperazone  ;;;;;;;;;;;;;;;;;;;;;;;
Cefotaxime  ;;;;;;;;;;;;;;;;;;;;;;;
Cefotetan  ;;;; Oral Solution;;;;;;;;;;;;;;;;;;;
Cefoxitin  ;;;; Oral Solution ;;;;;;;;;;;;;;;;;;;
cefpirome  ;;;;;;;;;;;;;;;;;;;;;;;
ceftaroline fosamil  ;;;;;;;; ; phenyl salicylate  ; Oral Tablet;;;;;;;;;;;;;
Ceftazidime  ;;;;;;;;;;;;;;;;;;;;;;;
Ceftizoxime  ;;;;;;;;;;;;;;;;;;;;;;;
Ceftriaxone  ;;;;;;;;;;;;;;;;;;;;;;;
Cefuroxime  ;;;;;;;;;;;;;;;;;;;;;;;
Centruroides (scorpion) Immune F(ab') (equine)  ;;;;;;;;;;;;;;;;;;;;;;;
Cephalothin  ;;;;;;;;;;;;;;;;;;;;;;;
Cephapirin  ;;;;;;;;;;;;;;;;;;;;;;;
Cephradine  ;;;;;;;;;;;;;;;;;;;;;;;
certolizumab pegol  ;;;;;;;;;;;;;;;;;;;;;;;
certoparin  UNT;;;;;;;;;;;;;;;;;;;;;;;
cetrorelix  ;;;;;;;;;;;;;;;;;;;;;;;
cetuximab  ;;;;;;;;;;;;;;;;;;;;;;;
Chloramphenicol  ;;;;;;;;;;;;;;;;;;;;;;;
Chlordiazepoxide Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Chloroprocaine hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Chloroquine hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Chlorothiazide  ;;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ;;;;;;;;;;;;;;;;;;;;;;;
Chlorpromazine hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Chorionic Gonadotropin  ;;;;;;;;;;;;;;;;;;;;;;;
Chorionic Gonadotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Chorionic Gonadotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Chorionic Gonadotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Chorionic Gonadotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
chromic chloride  ;;;;;;;;;;;;;;;;;;;;;;;
Cidofovir  ;;;;;;;;;;;;;;;;;;;;;;;
Cimetidine  ;;;;;;;;;;;;;;;;;;;;;;;
Ciprofloxacin  ;;;;;;;;;;;;;;;;;;;;;;;
Cisatracurium  ;;;;;;;;;;;;;;;;;;;;;;;
Cisplatin  ;;;;;;;;;;;;;;;;;;;;;;;
Cladribine  ;;;;;;;;;;;;;;;;;;;;;;;
Clindamycin  ;;;;;;;;;;;;;;;;;;;;;;;
clofarabine  ;;;;;;;;;;;;;;;;;;;;;;;
Clonazepam  ;;;;;;;;;;;;;;;;;;;;;;;
Clonidine Hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
Cloprostenol  ;;;;;;;;;;;;;;;;;;;;;;;
Cloxacillin  ;;;;;;;;;;;;;;;;;;;;;;;
Coagulation Factor IX (Human)  UNT;;;;;;;;;;;;;;;;;;;;;;;
Colistin  ;;;;;;;;;;;;;;;;;;;;;;;
collagenase Clostridium histolyticum  ;;;;;;;;;;;;;;;;;;;;;;;
Conivaptan hydrochloride  ;;;;;;;;;;;;;;;;;;;;;;;
corticorelin ovine triflutate  ;;;;;;;;;;;;;;;;;;;;;;;
Corticotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Corticotropin  UNT;;;;;;;;;;;;;;;;;;;;;;;
Cosyntropin  ;;;;;;;;;;;;;;;;;;;;;;;
Cyclophosphamide  ;;;;;;;;;;;;;;;;;;;;;;;
Cyclosporine  ;;;;;;;;;;;;;;;;;;;;;;;
Cytarabine  ;;;;;;;;;;;;;;;;;;;;;;;
Cytarabine  ;;;;;;;;;;;;;;;;;;;;;;;
cytomegalovirus immune globulin  ;;;;;;;;;;;;;;;;;;;;;;;
Dacarbazine  ;;;;;;;;;;;;;;;;;;;;;;;
Daclizumab  ;;;;;;;;;;;;;;;;;;;;;;;
Dactinomycin  ;;;; ;; Chewable Tablet;;;;;;;;;;;;;;;;;
Dalteparin Sodium  UNT;;;; ;; Chewable Tablet ;;;;;;;;;;;;;;;;;
danaparoid  UNT;;;; Oral Tablet;;;;;;;;;;;;;;;;;;;
Dantrolene Sodium  ;;;;;;;;;;;;;;;;;;;;;;;
Daptomycin  ;;;;;;;;;;;;;;;;;;;;;;;
darbepoetin alfa  ;;;;;;;;;;;;;;;;;;;;;;;
Daunorubicin  ;;;;;;;;;;;;;;;;;;;;;;;
Daunorubicin Liposomal  ;;;;;;;;;;;;;;;;;;;;;;;
decitabine  ;;;;;;;;;;;;;;;;;;;;;;;
deferoxamine mesylate  ;;;;;;;;;;;;;;;;;;;;;;;
degarelix  ;;;;;;;;;;;;;;;;;;;;;;;
denileukin diftitox  ;;;;;;;;;;;;;;;;;;;;;;;
denosumab  ;;;;;;;;;;;;;;;;;;;;;;;
desirudin  ;;;;;;;;;;;;;;;;;;;;;;;
Desmopressin Acetate  ;;;;;;;;;;;;;;;;;;;;;;;
detomidine  ;;;;;;;;;;;;;;;;;;;;;;;
Dexamethasone  ;;;;;;;;;;;;;;;;;;;;;;;
Dexamethasone  ;;;;;;;;;;;;;;;;;;;;;;;
Dexmedetomidine  ;;;;;;;;;;;;;;;;;;;;;;;
Dexmedetomidine  ;;;;;;;;;;;;;;;;;;;;;;;
dexpanthenol  ;;;;;;;;;;;;;;;;;;;;;;;
Dexrazoxane  ;;;;;;;;;;;;;;;;;;;;;;;
Dextran  ;;;; Topical Powder ;;;;;;;;;;;;;;;;;;;
Dextran   ;;;;;;;;;;;;;;;;;;;;;;;
